valve_serial_number,valve_size_in,valve_size_dn,valve_rating,valve_manufacturer,valve_item_code,valve_type,valve_seat_type,valve_end_connection,valve_operator,valve_bore_type,valve_seat_material,valve_body_material,valve_obturator_material,valve_stem_material
OGKZ - 00001,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 00002,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 00003,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 00004,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 00005,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 00006,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 00007,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 00008,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 00009,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000010,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000011,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000012,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000013,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000014,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000015,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000016,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000017,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000018,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000019,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000020,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000021,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000022,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000023,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000024,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000025,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000026,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000027,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000028,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000029,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000030,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000031,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000032,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000033,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000034,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000035,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000036,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000037,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000038,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000039,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000040,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000041,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000042,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000043,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000044,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000045,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000046,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000047,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000048,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000049,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000050,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000051,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000052,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000053,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000054,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000055,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000056,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000057,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000058,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000059,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000060,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000061,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000062,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000063,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000064,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000065,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000066,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000067,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000068,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000069,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000070,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000071,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000072,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000073,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000074,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000075,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000076,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000077,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
OGKZ - 000078,"3/4""",100,1500,OMB,G15AC48,GATE - WEDGE,METAL,RF,HANDWHEEL,FB,NO6625+HF,LF2,NO6625+HF,NO6625+HF
